fighter,kd,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,sub_att,ctrl_time,reversals,head_str_landed,head_str_attempted,body_str_landed,body_str_attempted,leg_str_landed,leg_str_attempted,distance_str_landed,distance_str_attempted,clinch_str_landed,clinch_str_attempted,ground_str_landed,ground_str_attempted,sig_str_landed_opp,sig_str_attempted_opp,td_landed_opp,td_attempted_opp,ctrl_time_opp,total_fight_time,wins,losses,draws,total_fights,dq_wins,majority_decision_wins,split_decision_wins,unanimous_decision_wins,ko_tko_wins,submission_wins,tko_doctor_stoppage_wins,Could Not Continue ,dq_losses,majority_decision_losses,split_decision_losses,unanimous_decision_losses,ko_tko_losses,other,overturned,submission_losses,tko_doctor_stoppage_losses
Bassil Hafez,0.0,151.0,395.0,173.0,421.0,6.0,25.0,0.0,486,1.0,128.0,359.0,11.0,24.0,12.0,12.0,142.0,381.0,6.0,11.0,3.0,3.0,231.0,397.0,2.0,4.0,92,2440,1,2,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Batgerel Danaa,4.0,311.0,851.0,411.0,974.0,2.0,4.0,0.0,105,1.0,238.0,723.0,34.0,74.0,39.0,54.0,259.0,763.0,18.0,31.0,34.0,57.0,243.0,462.0,6.0,16.0,434,3467,3,4,0,7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Bea Malecki,0.0,184.0,400.0,255.0,490.0,0.0,0.0,2.0,272,0.0,117.0,307.0,51.0,75.0,16.0,18.0,160.0,365.0,11.0,13.0,13.0,22.0,187.0,493.0,3.0,14.0,173,1613,2,1,0,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bec Rawlings,0.0,378.0,883.0,454.0,977.0,4.0,10.0,2.0,757,0.0,263.0,720.0,67.0,110.0,48.0,53.0,293.0,762.0,65.0,96.0,20.0,25.0,478.0,1120.0,6.0,19.0,1204,5066,2,5,0,7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
Bekzat Almakhan,2.0,11.0,27.0,13.0,36.0,0.0,0.0,0.0,36,0.0,8.0,23.0,3.0,4.0,0.0,0.0,9.0,25.0,0.0,0.0,2.0,2.0,69.0,102.0,5.0,5.0,686,964,1,1,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Belal Muhammad,0.0,1373.0,3158.0,2120.0,4154.0,46.0,119.0,3.0,4355,0.0,1069.0,2741.0,189.0,282.0,115.0,135.0,1186.0,2866.0,68.0,114.0,119.0,178.0,1162.0,2638.0,5.0,50.0,1094,18458,15,4,0,19,0.0,0.0,1.0,11.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
Ben Alloway,1.0,31.0,63.0,53.0,88.0,1.0,2.0,0.0,115,0.0,18.0,44.0,8.0,11.0,5.0,8.0,20.0,47.0,5.0,10.0,6.0,6.0,46.0,113.0,11.0,15.0,982,1456,1,2,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Ben Askren,0.0,63.0,128.0,105.0,173.0,5.0,9.0,1.0,233,1.0,54.0,117.0,4.0,6.0,5.0,5.0,46.0,109.0,11.0,13.0,6.0,6.0,98.0,154.0,1.0,1.0,124,1039,1,2,0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Ben Earwood,0.0,5.0,9.0,64.0,71.0,2.0,2.0,0.0,587,0.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,8.0,2.0,3.0,0.0,0.0,0,600,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Nguyen,3.0,210.0,524.0,265.0,591.0,1.0,3.0,4.0,383,2.0,145.0,432.0,40.0,61.0,25.0,31.0,164.0,467.0,31.0,37.0,15.0,20.0,180.0,443.0,14.0,38.0,1158,3587,4,3,0,7,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Ben Rothwell,4.0,681.0,1572.0,844.0,1772.0,9.0,28.0,6.0,1937,0.0,496.0,1354.0,109.0,136.0,76.0,82.0,537.0,1358.0,86.0,130.0,58.0,84.0,889.0,1608.0,11.0,27.0,1189,10240,9,8,0,17,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0
Ben Saunders,3.0,486.0,968.0,906.0,1416.0,2.0,5.0,13.0,958,0.0,247.0,641.0,188.0,267.0,51.0,60.0,285.0,696.0,160.0,223.0,41.0,49.0,538.0,1101.0,16.0,48.0,4168,9027,9,10,0,19,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,0.0
Ben Sosoli,0.0,31.0,114.0,31.0,114.0,0.0,0.0,0.0,0,0.0,19.0,94.0,11.0,19.0,1.0,1.0,31.0,113.0,0.0,1.0,0.0,0.0,73.0,139.0,0.0,0.0,2,988,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Ben Wall,0.0,5.0,17.0,6.0,18.0,0.0,1.0,0.0,0,0.0,3.0,13.0,2.0,3.0,0.0,1.0,2.0,14.0,3.0,3.0,0.0,0.0,29.0,41.0,0.0,6.0,44,204,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Benardo Sopaj,1.0,126.0,225.0,189.0,301.0,5.0,7.0,0.0,418,0.0,106.0,198.0,9.0,14.0,11.0,13.0,69.0,154.0,16.0,22.0,41.0,49.0,145.0,288.0,3.0,13.0,213,1781,1,1,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Beneil Dariush,7.0,833.0,1692.0,1114.0,2064.0,31.0,81.0,12.0,5307,1.0,503.0,1264.0,191.0,270.0,139.0,158.0,558.0,1283.0,128.0,191.0,147.0,218.0,577.0,1358.0,9.0,50.0,1168,13205,17,7,1,25,0.0,0.0,2.0,7.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0
Benito Lopez,1.0,156.0,356.0,161.0,361.0,0.0,0.0,1.0,112,0.0,70.0,221.0,26.0,58.0,60.0,77.0,143.0,337.0,9.0,15.0,4.0,4.0,193.0,422.0,2.0,3.0,459,2283,2,2,0,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Benji Radach,2.0,43.0,76.0,113.0,151.0,0.0,0.0,0.0,631,0.0,40.0,69.0,3.0,7.0,0.0,0.0,8.0,20.0,5.0,10.0,30.0,46.0,6.0,18.0,2.0,15.0,293,1183,1,1,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Benoit Saint Denis,5.0,386.0,698.0,591.0,939.0,22.0,58.0,8.0,2080,1.0,220.0,498.0,114.0,146.0,52.0,54.0,224.0,455.0,77.0,94.0,85.0,149.0,321.0,560.0,5.0,17.0,554,4570,8,3,0,11,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Benson Henderson,3.0,826.0,1801.0,1291.0,2315.0,32.0,65.0,10.0,3898,1.0,362.0,1203.0,247.0,323.0,217.0,275.0,520.0,1340.0,154.0,222.0,152.0,239.0,485.0,1369.0,28.0,81.0,1766,15146,11,3,0,14,0.0,0.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Bentley Syler,0.0,15.0,79.0,25.0,90.0,0.0,0.0,0.0,0,0.0,8.0,64.0,1.0,4.0,6.0,11.0,14.0,78.0,1.0,1.0,0.0,0.0,20.0,98.0,2.0,8.0,42,694,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernardo Magalhaes,0.0,54.0,200.0,56.0,202.0,0.0,18.0,1.0,11,1.0,27.0,158.0,9.0,21.0,18.0,21.0,54.0,200.0,0.0,0.0,0.0,0.0,101.0,316.0,0.0,0.0,74,1800,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Besam Yousef,0.0,71.0,133.0,240.0,322.0,2.0,3.0,0.0,275,0.0,44.0,101.0,23.0,26.0,4.0,6.0,24.0,58.0,45.0,71.0,2.0,4.0,90.0,147.0,5.0,10.0,547,1356,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Bethe Correia,0.0,664.0,1515.0,891.0,1769.0,4.0,22.0,0.0,1178,2.0,381.0,1109.0,163.0,248.0,120.0,158.0,573.0,1381.0,87.0,127.0,4.0,7.0,750.0,1706.0,3.0,21.0,772,9123,5,6,1,12,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0
Bevon Lewis,0.0,161.0,398.0,276.0,525.0,0.0,14.0,0.0,950,0.0,71.0,264.0,36.0,61.0,54.0,73.0,114.0,328.0,47.0,70.0,0.0,0.0,135.0,285.0,1.0,2.0,257,3178,1,3,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Bharat Kandare,0.0,3.0,30.0,3.0,30.0,0.0,1.0,0.0,0,0.0,1.0,22.0,0.0,0.0,2.0,8.0,3.0,30.0,0.0,0.0,0.0,0.0,8.0,29.0,0.0,0.0,8,256,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bia Mesquita,0.0,36.0,63.0,61.0,98.0,2.0,3.0,1.0,293,0.0,35.0,62.0,0.0,0.0,1.0,1.0,2.0,11.0,0.0,0.0,34.0,52.0,6.0,23.0,0.0,0.0,0,434,1,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bibulatov Magomed,0.0,114.0,223.0,165.0,282.0,6.0,15.0,0.0,601,0.0,59.0,152.0,47.0,61.0,8.0,10.0,61.0,145.0,18.0,23.0,35.0,55.0,58.0,122.0,1.0,4.0,207,1898,1,2,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Bill Algeo,2.0,624.0,1218.0,975.0,1614.0,9.0,16.0,1.0,1309,4.0,351.0,836.0,151.0,230.0,122.0,152.0,498.0,1062.0,63.0,83.0,63.0,73.0,463.0,910.0,24.0,52.0,1636,6968,5,5,0,10,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
Bill Mahood,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,124,138,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Billy Elekana,1.0,72.0,119.0,82.0,130.0,1.0,4.0,1.0,241,0.0,47.0,86.0,21.0,26.0,4.0,7.0,56.0,101.0,0.0,0.0,16.0,18.0,89.0,166.0,0.0,0.0,84,1626,2,1,0,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Billy Miles,0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,19,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,72,96,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Billy Quarantillo,2.0,863.0,1653.0,1322.0,2190.0,13.0,51.0,9.0,1988,1.0,599.0,1313.0,198.0,260.0,66.0,80.0,573.0,1289.0,148.0,182.0,142.0,182.0,720.0,1264.0,17.0,44.0,1956,7358,6,5,0,11,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0
Billy Ray Goff,1.0,157.0,337.0,174.0,358.0,1.0,14.0,0.0,310,0.0,77.0,224.0,32.0,55.0,48.0,58.0,144.0,316.0,11.0,16.0,2.0,5.0,114.0,279.0,2.0,4.0,102,1325,1,2,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Blagoy Ivanov,1.0,422.0,1042.0,490.0,1115.0,6.0,15.0,1.0,662,0.0,329.0,933.0,85.0,101.0,8.0,8.0,377.0,982.0,37.0,51.0,8.0,9.0,546.0,1174.0,5.0,13.0,983,7800,3,5,0,8,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
Blake Bilder,0.0,175.0,364.0,246.0,442.0,1.0,13.0,0.0,586,0.0,91.0,257.0,15.0,26.0,69.0,81.0,160.0,341.0,13.0,19.0,2.0,4.0,188.0,404.0,2.0,7.0,413,2700,1,2,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Blood Diamond,0.0,108.0,195.0,166.0,265.0,0.0,4.0,0.0,92,0.0,47.0,115.0,46.0,58.0,15.0,22.0,53.0,120.0,55.0,74.0,0.0,1.0,75.0,147.0,5.0,19.0,1412,2078,0,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Bo Nickal,2.0,155.0,254.0,227.0,343.0,7.0,15.0,5.0,829,0.0,95.0,179.0,33.0,44.0,27.0,31.0,130.0,217.0,13.0,19.0,12.0,18.0,100.0,248.0,0.0,9.0,192,2787,5,1,0,6,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bob Cook,0.0,22.0,47.0,53.0,78.0,1.0,5.0,2.0,69,0.0,12.0,30.0,7.0,11.0,3.0,6.0,15.0,34.0,7.0,12.0,0.0,1.0,24.0,63.0,0.0,0.0,127,389,1,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bob Gilstrap,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,52,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bobby Hoffman,1.0,36.0,81.0,109.0,166.0,5.0,6.0,1.0,694,1.0,15.0,57.0,19.0,22.0,2.0,2.0,1.0,16.0,26.0,37.0,9.0,28.0,60.0,76.0,2.0,2.0,838,1672,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Bobby Moffett,0.0,119.0,334.0,144.0,367.0,6.0,10.0,3.0,460,1.0,74.0,272.0,23.0,36.0,22.0,26.0,114.0,323.0,4.0,10.0,1.0,1.0,130.0,343.0,4.0,12.0,452,2263,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Bobby Nash,1.0,65.0,172.0,106.0,221.0,3.0,9.0,2.0,401,0.0,40.0,136.0,9.0,16.0,16.0,20.0,45.0,141.0,18.0,27.0,2.0,4.0,75.0,154.0,0.0,2.0,27,1139,0,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Bobby Southworth,0.0,21.0,84.0,81.0,151.0,1.0,2.0,0.0,81,0.0,6.0,66.0,1.0,2.0,14.0,16.0,19.0,81.0,1.0,1.0,1.0,2.0,22.0,119.0,0.0,1.0,160,900,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bobby Voelker,0.0,191.0,551.0,310.0,698.0,4.0,8.0,0.0,477,2.0,123.0,458.0,36.0,51.0,32.0,42.0,120.0,437.0,55.0,85.0,16.0,29.0,289.0,493.0,6.0,20.0,784,3024,0,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
Bogdan Grad,0.0,77.0,130.0,108.0,174.0,6.0,18.0,0.0,567,0.0,49.0,90.0,15.0,21.0,13.0,19.0,27.0,64.0,16.0,22.0,34.0,44.0,52.0,106.0,1.0,4.0,306,1462,1,1,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bogdan Guskov,3.0,119.0,216.0,171.0,271.0,0.0,0.0,2.0,125,1.0,106.0,202.0,7.0,7.0,6.0,7.0,65.0,144.0,11.0,12.0,43.0,60.0,94.0,172.0,3.0,7.0,576,1711,4,1,0,5,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bojan Mihajlovic,0.0,26.0,73.0,41.0,92.0,0.0,1.0,0.0,66,0.0,7.0,45.0,9.0,14.0,10.0,14.0,21.0,64.0,5.0,8.0,0.0,1.0,126.0,240.0,2.0,3.0,671,1271,0,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Bojan Velickovic,1.0,195.0,560.0,531.0,938.0,4.0,16.0,3.0,460,3.0,93.0,395.0,29.0,54.0,73.0,111.0,166.0,519.0,19.0,30.0,10.0,11.0,207.0,488.0,13.0,29.0,1786,5377,2,3,1,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Bolaji Oki,1.0,262.0,604.0,266.0,612.0,3.0,5.0,0.0,201,0.0,194.0,505.0,52.0,78.0,16.0,21.0,248.0,569.0,8.0,15.0,6.0,20.0,218.0,564.0,3.0,9.0,336,2512,2,2,0,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Boston Salmon,0.0,12.0,22.0,16.0,26.0,0.0,1.0,0.0,43,0.0,4.0,13.0,7.0,8.0,1.0,1.0,11.0,21.0,1.0,1.0,0.0,0.0,27.0,49.0,0.0,0.0,10,160,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Brad Blackburn,5.0,294.0,827.0,384.0,928.0,4.0,8.0,3.0,582,0.0,181.0,655.0,44.0,82.0,69.0,90.0,255.0,757.0,16.0,35.0,23.0,35.0,232.0,669.0,3.0,13.0,374,3877,3,2,0,5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Brad Gumm,0.0,30.0,68.0,131.0,174.0,0.0,4.0,1.0,52,2.0,22.0,53.0,7.0,11.0,1.0,4.0,12.0,41.0,14.0,22.0,4.0,5.0,50.0,95.0,6.0,7.0,919,1200,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Brad Imes,0.0,119.0,373.0,160.0,425.0,5.0,7.0,3.0,389,1.0,97.0,339.0,19.0,31.0,3.0,3.0,68.0,257.0,33.0,80.0,18.0,36.0,185.0,367.0,1.0,1.0,787,2617,0,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Brad Katona,0.0,582.0,1109.0,801.0,1381.0,15.0,44.0,0.0,2070,0.0,414.0,886.0,74.0,116.0,94.0,107.0,425.0,889.0,86.0,121.0,71.0,99.0,575.0,1156.0,10.0,26.0,721,7264,4,5,0,9,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
Brad Kohler,1.0,15.0,27.0,77.0,96.0,4.0,7.0,0.0,8,0.0,12.0,24.0,3.0,3.0,0.0,0.0,4.0,7.0,2.0,3.0,9.0,17.0,6.0,17.0,0.0,0.0,1,635,1,1,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Brad Morris,0.0,5.0,8.0,5.0,8.0,0.0,1.0,0.0,5,0.0,4.0,7.0,0.0,0.0,1.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,70.0,97.0,1.0,1.0,553,604,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Brad Pickett,3.0,465.0,1435.0,670.0,1665.0,21.0,52.0,2.0,1967,2.0,304.0,1159.0,67.0,131.0,94.0,145.0,351.0,1240.0,56.0,91.0,58.0,104.0,728.0,1658.0,15.0,38.0,889,9115,5,9,0,14,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0
Brad Riddell,1.0,360.0,671.0,441.0,756.0,9.0,25.0,0.0,565,1.0,233.0,509.0,80.0,110.0,47.0,52.0,297.0,591.0,16.0,19.0,47.0,61.0,270.0,582.0,15.0,41.0,1060,4585,4,3,0,7,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
Brad Scott,2.0,327.0,787.0,419.0,890.0,2.0,13.0,4.0,980,1.0,200.0,587.0,74.0,133.0,53.0,67.0,267.0,710.0,47.0,63.0,13.0,14.0,401.0,938.0,12.0,33.0,685,5581,3,5,0,8,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
Brad Tavares,4.0,1195.0,2758.0,1470.0,3066.0,17.0,63.0,0.0,2769,2.0,709.0,2107.0,196.0,307.0,290.0,344.0,1018.0,2489.0,136.0,210.0,41.0,59.0,1174.0,2598.0,25.0,133.0,4254,20958,16,11,0,27,0.0,0.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0
Brady Hiestand,0.0,152.0,299.0,276.0,453.0,18.0,39.0,4.0,1599,1.0,112.0,244.0,28.0,39.0,12.0,16.0,127.0,269.0,14.0,18.0,11.0,12.0,211.0,432.0,4.0,7.0,471,3373,3,1,0,4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Branden Lee Hinkle,0.0,36.0,52.0,55.0,72.0,4.0,7.0,4.0,398,0.0,23.0,38.0,12.0,13.0,1.0,1.0,0.0,3.0,8.0,10.0,28.0,39.0,54.0,73.0,1.0,3.0,372,829,1,2,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Brando Pericic,0.0,29.0,49.0,30.0,50.0,0.0,0.0,0.0,29,0.0,23.0,42.0,2.0,3.0,4.0,4.0,11.0,20.0,12.0,18.0,6.0,11.0,3.0,9.0,0.0,2.0,13,115,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Davis,0.0,437.0,1135.0,527.0,1240.0,6.0,14.0,1.0,473,0.0,247.0,870.0,73.0,116.0,117.0,149.0,389.0,1068.0,28.0,35.0,20.0,32.0,459.0,1098.0,25.0,59.0,1552,6419,2,7,0,9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0
Brandon Jenkins,0.0,59.0,143.0,95.0,186.0,0.0,0.0,0.0,14,1.0,21.0,92.0,10.0,20.0,28.0,31.0,50.0,132.0,7.0,9.0,2.0,2.0,162.0,242.0,8.0,11.0,683,1208,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Brandon Melendez,0.0,6.0,23.0,12.0,29.0,0.0,0.0,0.0,82,2.0,5.0,21.0,1.0,2.0,0.0,0.0,5.0,19.0,0.0,0.0,1.0,4.0,4.0,11.0,3.0,4.0,275,429,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Brandon Moreno,4.0,1220.0,2761.0,1534.0,3098.0,31.0,70.0,8.0,3256,6.0,910.0,2347.0,192.0,270.0,118.0,144.0,1071.0,2515.0,62.0,112.0,87.0,134.0,1117.0,2841.0,25.0,70.0,1790,18508,11,5,2,18,0.0,0.0,1.0,4.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
Brandon Royval,3.0,751.0,1823.0,1078.0,2203.0,6.0,8.0,10.0,571,6.0,590.0,1590.0,113.0,161.0,48.0,72.0,657.0,1687.0,36.0,49.0,58.0,87.0,572.0,1011.0,34.0,62.0,3066,8114,7,4,0,11,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
Brandon Thatch,3.0,119.0,278.0,162.0,328.0,4.0,6.0,2.0,92,0.0,63.0,200.0,31.0,45.0,25.0,33.0,79.0,223.0,31.0,43.0,9.0,12.0,160.0,339.0,8.0,16.0,1058,2646,2,4,0,6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
