event,bout,fighter,kd,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,sub_att,ctrl_time,reversals,head_str_landed,head_str_attempted,body_str_landed,body_str_attempted,leg_str_landed,leg_str_attempted,distance_str_landed,distance_str_attempted,clinch_str_landed,clinch_str_attempted,ground_str_landed,ground_str_attempted,sig_str_landed_opp,sig_str_attempted_opp,td_landed_opp,td_attempted_opp,ctrl_time_opp,result
Ortiz vs Shamrock 3: The Final Chapter,Jason MacDonald vs. Ed Herman,Ed Herman,0.0,2.0,2.0,5.0,5.0,1.0,2.0,0.0,78,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,1.0,57,L
Ortiz vs Shamrock 3: The Final Chapter,Jason MacDonald vs. Ed Herman,Jason MacDonald,0.0,5.0,7.0,14.0,16.0,0.0,1.0,2.0,57,1.0,4.0,5.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,3.0,3.0,2.0,2.0,1.0,2.0,78,W
Ortiz vs Shamrock 3: The Final Chapter,Kendall Grove vs. Chris Price,Chris Price,0.0,5.0,10.0,7.0,12.0,0.0,0.0,0.0,36,1.0,2.0,7.0,3.0,3.0,0.0,0.0,2.0,5.0,3.0,3.0,0.0,2.0,13.0,26.0,1.0,1.0,164,L
Ortiz vs Shamrock 3: The Final Chapter,Kendall Grove vs. Chris Price,Kendall Grove,0.0,13.0,26.0,22.0,36.0,1.0,1.0,1.0,164,1.0,12.0,25.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,11.0,21.0,5.0,10.0,0.0,0.0,36,W
Ortiz vs Shamrock 3: The Final Chapter,Marcus Davis vs. Forrest Petz,Forrest Petz,0.0,5.0,18.0,19.0,35.0,0.0,0.0,0.0,21,0.0,2.0,14.0,2.0,3.0,1.0,1.0,1.0,9.0,4.0,9.0,0.0,0.0,33.0,50.0,0.0,0.0,50,L
Ortiz vs Shamrock 3: The Final Chapter,Marcus Davis vs. Forrest Petz,Marcus Davis,0.0,33.0,50.0,66.0,88.0,0.0,0.0,1.0,50,0.0,17.0,33.0,8.0,9.0,8.0,8.0,5.0,11.0,20.0,24.0,8.0,15.0,5.0,18.0,0.0,0.0,21,W
Ortiz vs Shamrock 3: The Final Chapter,Matt Hamill vs. Seth Petruzelli,Matt Hamill,0.0,14.0,40.0,105.0,148.0,7.0,11.0,0.0,609,0.0,11.0,37.0,0.0,0.0,3.0,3.0,8.0,29.0,3.0,5.0,3.0,6.0,25.0,58.0,0.0,0.0,11,W
Ortiz vs Shamrock 3: The Final Chapter,Matt Hamill vs. Seth Petruzelli,Seth Petruzelli,1.0,25.0,58.0,54.0,88.0,0.0,0.0,1.0,11,0.0,11.0,41.0,8.0,10.0,6.0,7.0,21.0,49.0,3.0,6.0,1.0,3.0,14.0,40.0,7.0,11.0,609,L
Ortiz vs Shamrock 3: The Final Chapter,Nate Marquardt vs. Crafton Wallace,Crafton Wallace,0.0,4.0,18.0,27.0,41.0,0.0,0.0,0.0,45,0.0,3.0,16.0,0.0,1.0,1.0,1.0,4.0,17.0,0.0,0.0,0.0,1.0,13.0,27.0,2.0,3.0,215,L
Ortiz vs Shamrock 3: The Final Chapter,Nate Marquardt vs. Crafton Wallace,Nate Marquardt,0.0,13.0,27.0,31.0,47.0,2.0,3.0,2.0,215,1.0,7.0,20.0,2.0,2.0,4.0,5.0,7.0,16.0,0.0,0.0,6.0,11.0,4.0,18.0,0.0,0.0,45,W
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer vs. Josh Haynes,Josh Haynes,1.0,23.0,101.0,32.0,113.0,1.0,6.0,0.0,173,0.0,15.0,87.0,4.0,9.0,4.0,5.0,12.0,74.0,2.0,7.0,9.0,20.0,50.0,123.0,0.0,1.0,76,L
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer vs. Josh Haynes,Rory Singer,0.0,50.0,123.0,57.0,130.0,0.0,1.0,0.0,76,0.0,44.0,117.0,5.0,5.0,1.0,1.0,38.0,100.0,12.0,22.0,0.0,1.0,23.0,101.0,1.0,6.0,173,W
Ortiz vs Shamrock 3: The Final Chapter,Thiago Alves vs. John Alessio,John Alessio,0.0,13.0,82.0,18.0,87.0,2.0,10.0,0.0,253,0.0,12.0,79.0,0.0,2.0,1.0,1.0,10.0,72.0,2.0,9.0,1.0,1.0,63.0,142.0,0.0,0.0,76,L
Ortiz vs Shamrock 3: The Final Chapter,Thiago Alves vs. John Alessio,Thiago Alves,0.0,63.0,142.0,84.0,164.0,0.0,0.0,0.0,76,0.0,27.0,95.0,11.0,13.0,25.0,34.0,41.0,104.0,15.0,23.0,7.0,15.0,13.0,82.0,2.0,10.0,253,W
Ortiz vs Shamrock 3: The Final Chapter,Tito Ortiz vs. Ken Shamrock,Ken Shamrock,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,29.0,1.0,1.0,126,L
Ortiz vs Shamrock 3: The Final Chapter,Tito Ortiz vs. Ken Shamrock,Tito Ortiz,0.0,18.0,29.0,38.0,52.0,1.0,1.0,0.0,126,0.0,15.0,25.0,1.0,1.0,2.0,3.0,0.0,2.0,3.0,3.0,15.0,24.0,0.0,0.0,0.0,0.0,0,W
Ortiz vs Shamrock 3: The Final Chapter,Tony DeSouza vs. Dustin Hazelett,Dustin Hazelett,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,218,L
Ortiz vs Shamrock 3: The Final Chapter,Tony DeSouza vs. Dustin Hazelett,Tony DeSouza,0.0,5.0,5.0,12.0,12.0,1.0,1.0,1.0,218,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,4.0,0.0,0.0,0,W
The Ultimate Fighter: A Champion Will Be Crowned Finale,Aisling Daly vs. Alex Chambers,Aisling Daly,0.0,16.0,26.0,52.0,68.0,1.0,2.0,1.0,185,0.0,13.0,21.0,3.0,5.0,0.0,0.0,5.0,11.0,2.0,4.0,9.0,11.0,12.0,15.0,1.0,1.0,73,W
The Ultimate Fighter: A Champion Will Be Crowned Finale,Aisling Daly vs. Alex Chambers,Alex Chambers,0.0,12.0,15.0,12.0,15.0,1.0,1.0,0.0,73,0.0,5.0,7.0,2.0,3.0,5.0,5.0,6.0,7.0,5.0,6.0,1.0,2.0,16.0,26.0,1.0,2.0,185,L
The Ultimate Fighter: A Champion Will Be Crowned Finale,Bec Rawlings vs. Heather Clark,Bec Rawlings,0.0,69.0,118.0,90.0,147.0,0.0,2.0,0.0,61,0.0,45.0,89.0,6.0,10.0,18.0,19.0,43.0,82.0,25.0,35.0,1.0,1.0,56.0,99.0,1.0,5.0,473,L
The Ultimate Fighter: A Champion Will Be Crowned Finale,Bec Rawlings vs. Heather Clark,Heather Clark,0.0,56.0,99.0,85.0,136.0,1.0,5.0,1.0,473,0.0,33.0,66.0,15.0,23.0,8.0,10.0,29.0,64.0,21.0,27.0,6.0,8.0,69.0,118.0,0.0,2.0,61,W
The Ultimate Fighter: A Champion Will Be Crowned Finale,Carla Esparza vs. Rose Namajunas,Carla Esparza,0.0,42.0,90.0,107.0,180.0,5.0,7.0,1.0,303,0.0,36.0,79.0,6.0,10.0,0.0,1.0,11.0,45.0,11.0,21.0,20.0,24.0,28.0,72.0,1.0,3.0,23,W
The Ultimate Fighter: A Champion Will Be Crowned Finale,Carla Esparza vs. Rose Namajunas,Rose Namajunas,0.0,28.0,72.0,29.0,73.0,1.0,3.0,0.0,23,0.0,16.0,53.0,8.0,14.0,4.0,5.0,22.0,58.0,4.0,10.0,2.0,4.0,42.0,90.0,5.0,7.0,303,L
The Ultimate Fighter: A Champion Will Be Crowned Finale,Emily Kagan vs. Angela Hill,Angela Hill,1.0,107.0,159.0,140.0,199.0,0.0,1.0,0.0,262,1.0,68.0,113.0,31.0,38.0,8.0,8.0,32.0,63.0,68.0,87.0,7.0,9.0,41.0,91.0,2.0,12.0,336,W
The Ultimate Fighter: A Champion Will Be Crowned Finale,Emily Kagan vs. Angela Hill,Emily Kagan,0.0,41.0,91.0,60.0,113.0,2.0,12.0,0.0,336,0.0,15.0,52.0,11.0,21.0,15.0,18.0,26.0,70.0,15.0,21.0,0.0,0.0,107.0,159.0,0.0,1.0,262,L
The Ultimate Fighter: A Champion Will Be Crowned Finale,Felice Herrig vs. Lisa Ellis,Felice Herrig,0.0,8.0,14.0,48.0,64.0,1.0,1.0,3.0,296,2.0,8.0,13.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,7.0,8.0,4.0,5.0,2.0,3.0,165,W
The Ultimate Fighter: A Champion Will Be Crowned Finale,Felice Herrig vs. Lisa Ellis,Lisa Ellis,0.0,4.0,5.0,7.0,10.0,2.0,3.0,1.0,165,1.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,8.0,14.0,1.0,1.0,296,L
The Ultimate Fighter: A Champion Will Be Crowned Finale,Jeremy Stephens vs. Charles Oliveira,Charles Oliveira,0.0,43.0,67.0,74.0,100.0,2.0,7.0,3.0,323,0.0,25.0,46.0,12.0,15.0,6.0,6.0,20.0,39.0,15.0,17.0,8.0,11.0,48.0,79.0,0.0,0.0,379,W
The Ultimate Fighter: A Champion Will Be Crowned Finale,Jeremy Stephens vs. Charles Oliveira,Jeremy Stephens,0.0,48.0,79.0,55.0,88.0,0.0,0.0,0.0,379,0.0,34.0,59.0,8.0,11.0,6.0,9.0,25.0,47.0,6.0,6.0,17.0,26.0,43.0,67.0,2.0,7.0,323,L
The Ultimate Fighter: A Champion Will Be Crowned Finale,Jessica Penne vs. Randa Markos,Jessica Penne,0.0,39.0,98.0,94.0,166.0,4.0,8.0,0.0,402,1.0,24.0,76.0,8.0,12.0,7.0,10.0,19.0,71.0,6.0,7.0,14.0,20.0,55.0,102.0,1.0,2.0,137,W
The Ultimate Fighter: A Champion Will Be Crowned Finale,Jessica Penne vs. Randa Markos,Randa Markos,0.0,55.0,102.0,76.0,124.0,1.0,2.0,0.0,137,0.0,44.0,89.0,2.0,3.0,9.0,10.0,42.0,82.0,1.0,5.0,12.0,15.0,39.0,98.0,4.0,8.0,402,L
The Ultimate Fighter: A Champion Will Be Crowned Finale,Joanne Wood vs. Seo Hee Ham,Joanne Wood,0.0,109.0,223.0,147.0,271.0,2.0,4.0,0.0,338,0.0,41.0,119.0,27.0,41.0,41.0,63.0,70.0,164.0,30.0,44.0,9.0,15.0,58.0,111.0,0.0,3.0,42,W
The Ultimate Fighter: A Champion Will Be Crowned Finale,Joanne Wood vs. Seo Hee Ham,Seo Hee Ham,0.0,58.0,111.0,63.0,116.0,0.0,3.0,0.0,42,0.0,22.0,60.0,17.0,22.0,19.0,29.0,50.0,97.0,8.0,14.0,0.0,0.0,109.0,223.0,2.0,4.0,338,L
The Ultimate Fighter: A Champion Will Be Crowned Finale,Joe Proctor vs. Yancy Medeiros,Joe Proctor,0.0,15.0,46.0,15.0,46.0,0.0,0.0,0.0,0,0.0,2.0,26.0,4.0,7.0,9.0,13.0,15.0,46.0,0.0,0.0,0.0,0.0,25.0,66.0,0.0,0.0,27,L
The Ultimate Fighter: A Champion Will Be Crowned Finale,Joe Proctor vs. Yancy Medeiros,Yancy Medeiros,1.0,25.0,66.0,25.0,66.0,0.0,0.0,1.0,27,0.0,8.0,40.0,9.0,17.0,8.0,9.0,21.0,59.0,1.0,1.0,3.0,6.0,15.0,46.0,0.0,0.0,0,W
The Ultimate Fighter: A Champion Will Be Crowned Finale,KJ Noons vs. Daron Cruickshank,Daron Cruickshank,0.0,23.0,59.0,23.0,59.0,2.0,3.0,0.0,23,0.0,11.0,45.0,6.0,8.0,6.0,6.0,22.0,58.0,1.0,1.0,0.0,0.0,18.0,47.0,0.0,0.0,2,
The Ultimate Fighter: A Champion Will Be Crowned Finale,KJ Noons vs. Daron Cruickshank,KJ Noons,0.0,18.0,47.0,18.0,47.0,0.0,0.0,0.0,2,0.0,9.0,29.0,0.0,2.0,9.0,16.0,17.0,45.0,1.0,1.0,0.0,1.0,23.0,59.0,2.0,3.0,23,
The Ultimate Fighter: A Champion Will Be Crowned Finale,Tecia Pennington vs. Angela Magana,Angela Magana,0.0,37.0,145.0,38.0,146.0,0.0,2.0,0.0,4,0.0,7.0,97.0,11.0,24.0,19.0,24.0,32.0,139.0,5.0,6.0,0.0,0.0,96.0,196.0,1.0,1.0,38,L
The Ultimate Fighter: A Champion Will Be Crowned Finale,Tecia Pennington vs. Angela Magana,Tecia Pennington,1.0,96.0,196.0,98.0,200.0,1.0,1.0,0.0,38,0.0,57.0,137.0,29.0,46.0,10.0,13.0,89.0,186.0,7.0,10.0,0.0,0.0,37.0,145.0,0.0,2.0,4,W
The Ultimate Fighter: A New World Champion Finale,Andrew Sanchez vs. Ryan Janes,Andrew Sanchez,2.0,96.0,183.0,113.0,200.0,3.0,7.0,0.0,125,0.0,90.0,173.0,6.0,10.0,0.0,0.0,80.0,160.0,9.0,14.0,7.0,9.0,159.0,267.0,0.0,0.0,14,L
The Ultimate Fighter: A New World Champion Finale,Andrew Sanchez vs. Ryan Janes,Ryan Janes,0.0,159.0,267.0,200.0,312.0,0.0,0.0,0.0,14,0.0,121.0,226.0,32.0,35.0,6.0,6.0,131.0,232.0,28.0,35.0,0.0,0.0,96.0,183.0,3.0,7.0,125,W
The Ultimate Fighter: A New World Champion Finale,Ariel Beck vs. Shana Dobson,Ariel Beck,0.0,35.0,102.0,35.0,102.0,0.0,0.0,0.0,9,0.0,8.0,52.0,16.0,37.0,11.0,13.0,34.0,100.0,1.0,2.0,0.0,0.0,34.0,95.0,0.0,0.0,0,L
The Ultimate Fighter: A New World Champion Finale,Ariel Beck vs. Shana Dobson,Shana Dobson,1.0,34.0,95.0,36.0,97.0,0.0,0.0,0.0,0,0.0,19.0,70.0,9.0,16.0,6.0,9.0,31.0,92.0,3.0,3.0,0.0,0.0,35.0,102.0,0.0,0.0,9,W
The Ultimate Fighter: A New World Champion Finale,Barb Honchak vs. Lauren Murphy,Barb Honchak,0.0,71.0,236.0,75.0,241.0,0.0,0.0,2.0,21,0.0,55.0,216.0,3.0,5.0,13.0,15.0,71.0,236.0,0.0,0.0,0.0,0.0,59.0,197.0,2.0,2.0,208,L
The Ultimate Fighter: A New World Champion Finale,Barb Honchak vs. Lauren Murphy,Lauren Murphy,0.0,59.0,197.0,77.0,222.0,2.0,2.0,0.0,208,0.0,49.0,184.0,2.0,4.0,8.0,9.0,59.0,197.0,0.0,0.0,0.0,0.0,71.0,236.0,0.0,0.0,21,W
The Ultimate Fighter: A New World Champion Finale,Christina Marks vs. Montana De La Rosa,Christina Marks,0.0,10.0,17.0,17.0,24.0,1.0,1.0,0.0,41,0.0,6.0,13.0,2.0,2.0,2.0,2.0,7.0,12.0,3.0,4.0,0.0,1.0,6.0,17.0,0.0,0.0,25,L
The Ultimate Fighter: A New World Champion Finale,Christina Marks vs. Montana De La Rosa,Montana De La Rosa,0.0,6.0,17.0,8.0,19.0,0.0,0.0,1.0,25,0.0,3.0,13.0,2.0,3.0,1.0,1.0,3.0,10.0,3.0,7.0,0.0,0.0,10.0,17.0,1.0,1.0,41,W
The Ultimate Fighter: A New World Champion Finale,DeAnna Bennett vs. Melinda Fabian,DeAnna Bennett,0.0,47.0,81.0,82.0,117.0,0.0,11.0,1.0,591,0.0,25.0,54.0,16.0,21.0,6.0,6.0,27.0,57.0,19.0,23.0,1.0,1.0,49.0,117.0,0.0,0.0,25,D
The Ultimate Fighter: A New World Champion Finale,DeAnna Bennett vs. Melinda Fabian,Melinda Fabian,1.0,49.0,117.0,102.0,175.0,0.0,0.0,0.0,25,0.0,34.0,98.0,12.0,16.0,3.0,3.0,32.0,91.0,17.0,24.0,0.0,2.0,47.0,81.0,0.0,11.0,591,D
The Ultimate Fighter: A New World Champion Finale,Eric Spicely vs. Gerald Meerschaert,Eric Spicely,0.0,17.0,31.0,59.0,81.0,1.0,5.0,1.0,221,0.0,15.0,28.0,2.0,3.0,0.0,0.0,11.0,24.0,1.0,1.0,5.0,6.0,36.0,85.0,0.0,0.0,21,L
The Ultimate Fighter: A New World Champion Finale,Eric Spicely vs. Gerald Meerschaert,Gerald Meerschaert,1.0,36.0,85.0,45.0,95.0,0.0,0.0,0.0,21,1.0,30.0,77.0,6.0,8.0,0.0,0.0,33.0,82.0,1.0,1.0,2.0,2.0,17.0,31.0,1.0,5.0,221,W
The Ultimate Fighter: A New World Champion Finale,Gillian Robertson vs. Emily Whitmire,Emily Whitmire,0.0,9.0,15.0,13.0,20.0,0.0,0.0,0.0,33,1.0,7.0,13.0,0.0,0.0,2.0,2.0,6.0,12.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,50,L
The Ultimate Fighter: A New World Champion Finale,Gillian Robertson vs. Emily Whitmire,Gillian Robertson,0.0,2.0,6.0,4.0,8.0,1.0,1.0,1.0,50,0.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,9.0,15.0,0.0,0.0,33,W
The Ultimate Fighter: A New World Champion Finale,Joe Soto vs. Brett Johns,Brett Johns,0.0,1.0,9.0,1.0,9.0,0.0,0.0,1.0,0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,W
The Ultimate Fighter: A New World Champion Finale,Joe Soto vs. Brett Johns,Joe Soto,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0,L
The Ultimate Fighter: A New World Champion Finale,Karine Gevorgyan vs. Rachael Ostovich,Karine Gevorgyan,0.0,2.0,10.0,2.0,10.0,0.0,2.0,0.0,22,0.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,3.0,13.0,1.0,1.0,36,L
The Ultimate Fighter: A New World Champion Finale,Karine Gevorgyan vs. Rachael Ostovich,Rachael Ostovich,0.0,3.0,13.0,5.0,15.0,1.0,1.0,1.0,36,0.0,1.0,10.0,0.0,0.0,2.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,2.0,22,W
The Ultimate Fighter: A New World Champion Finale,Nicco Montano vs. Roxanne Modafferi,Nicco Montano,0.0,186.0,456.0,242.0,524.0,3.0,6.0,1.0,371,1.0,138.0,397.0,13.0,23.0,35.0,36.0,161.0,422.0,10.0,18.0,15.0,16.0,132.0,403.0,2.0,9.0,185,W
The Ultimate Fighter: A New World Champion Finale,Nicco Montano vs. Roxanne Modafferi,Roxanne Modafferi,0.0,132.0,403.0,154.0,433.0,2.0,9.0,1.0,185,0.0,112.0,373.0,12.0,21.0,8.0,9.0,123.0,391.0,7.0,10.0,2.0,2.0,186.0,456.0,3.0,6.0,371,L
The Ultimate Fighter: A New World Champion Finale,Sean O'Malley vs. Terrion Ware,Sean O'Malley,0.0,141.0,252.0,142.0,255.0,3.0,6.0,0.0,27,0.0,119.0,224.0,20.0,26.0,2.0,2.0,131.0,241.0,6.0,7.0,4.0,4.0,88.0,288.0,0.0,2.0,71,W
The Ultimate Fighter: A New World Champion Finale,Sean O'Malley vs. Terrion Ware,Terrion Ware,0.0,88.0,288.0,96.0,296.0,0.0,2.0,0.0,71,0.0,59.0,241.0,17.0,27.0,12.0,20.0,83.0,271.0,5.0,17.0,0.0,0.0,141.0,252.0,3.0,6.0,27,L
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Angela Magana vs. Michelle Waterson-Gomez,Angela Magana,0.0,8.0,24.0,19.0,36.0,1.0,1.0,1.0,477,0.0,3.0,17.0,2.0,4.0,3.0,3.0,6.0,21.0,2.0,3.0,0.0,0.0,47.0,60.0,3.0,3.0,117,L
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Angela Magana vs. Michelle Waterson-Gomez,Michelle Waterson-Gomez,0.0,47.0,60.0,102.0,120.0,3.0,3.0,4.0,117,0.0,25.0,37.0,15.0,16.0,7.0,7.0,25.0,33.0,9.0,9.0,13.0,18.0,8.0,24.0,1.0,1.0,477,W
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Dan Miller vs. Trevor Smith,Dan Miller,0.0,25.0,59.0,29.0,63.0,0.0,1.0,1.0,5,0.0,10.0,43.0,13.0,14.0,2.0,2.0,13.0,46.0,12.0,13.0,0.0,0.0,51.0,76.0,1.0,3.0,713,L
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Dan Miller vs. Trevor Smith,Trevor Smith,0.0,51.0,76.0,149.0,180.0,1.0,3.0,0.0,713,0.0,41.0,66.0,9.0,9.0,1.0,1.0,15.0,33.0,9.0,11.0,27.0,32.0,25.0,59.0,0.0,1.0,5,W
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Darrell Montague vs. Willie Gates,Darrell Montague,0.0,4.0,13.0,4.0,13.0,0.0,1.0,0.0,0,0.0,0.0,9.0,2.0,2.0,2.0,2.0,4.0,13.0,0.0,0.0,0.0,0.0,19.0,33.0,0.0,0.0,13,L
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Darrell Montague vs. Willie Gates,Willie Gates,1.0,19.0,33.0,21.0,35.0,0.0,0.0,0.0,13,0.0,15.0,28.0,3.0,4.0,1.0,1.0,9.0,22.0,0.0,0.0,10.0,11.0,4.0,13.0,0.0,1.0,0,W
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,George Sullivan vs. Dominic Waters,Dominic Waters,0.0,13.0,53.0,32.0,72.0,5.0,5.0,0.0,325,0.0,12.0,51.0,1.0,1.0,0.0,1.0,10.0,49.0,1.0,2.0,2.0,2.0,54.0,96.0,2.0,2.0,361,L
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,George Sullivan vs. Dominic Waters,George Sullivan,0.0,54.0,96.0,103.0,145.0,2.0,2.0,3.0,361,1.0,29.0,65.0,18.0,22.0,7.0,9.0,21.0,51.0,10.0,10.0,23.0,35.0,13.0,53.0,5.0,5.0,325,W
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Jake Ellenberger vs. Stephen Thompson,Jake Ellenberger,1.0,5.0,14.0,14.0,23.0,0.0,1.0,0.0,1,0.0,4.0,12.0,1.0,1.0,0.0,1.0,1.0,7.0,4.0,7.0,0.0,0.0,20.0,35.0,1.0,3.0,116,L
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Jake Ellenberger vs. Stephen Thompson,Stephen Thompson,2.0,20.0,35.0,29.0,47.0,1.0,3.0,0.0,116,0.0,17.0,29.0,2.0,5.0,1.0,1.0,12.0,22.0,1.0,3.0,7.0,10.0,5.0,14.0,0.0,1.0,1,W
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Jorge Masvidal vs. Cezar Ferreira,Cezar Ferreira,0.0,7.0,18.0,9.0,20.0,1.0,3.0,0.0,90,0.0,5.0,10.0,2.0,6.0,0.0,2.0,6.0,16.0,1.0,2.0,0.0,0.0,12.0,23.0,0.0,0.0,2,L
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Jorge Masvidal vs. Cezar Ferreira,Jorge Masvidal,1.0,12.0,23.0,14.0,25.0,0.0,0.0,0.0,2,0.0,8.0,17.0,3.0,4.0,1.0,2.0,5.0,15.0,3.0,4.0,4.0,4.0,7.0,18.0,1.0,3.0,90,W
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Josh Samman vs. Caio Magalhaes,Caio Magalhaes,0.0,3.0,8.0,5.0,10.0,0.0,0.0,0.0,0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,12.0,19.0,0.0,0.0,71,L
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Josh Samman vs. Caio Magalhaes,Josh Samman,0.0,12.0,19.0,21.0,28.0,0.0,0.0,1.0,71,0.0,3.0,6.0,3.0,7.0,6.0,6.0,12.0,19.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0,W
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Kamaru Usman vs. Hayder Hassan,Hayder Hassan,0.0,3.0,11.0,7.0,15.0,0.0,0.0,0.0,0,0.0,3.0,10.0,0.0,1.0,0.0,0.0,1.0,8.0,2.0,3.0,0.0,0.0,15.0,26.0,6.0,8.0,309,L
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Kamaru Usman vs. Hayder Hassan,Kamaru Usman,0.0,15.0,26.0,31.0,43.0,6.0,8.0,1.0,309,0.0,10.0,21.0,5.0,5.0,0.0,0.0,4.0,9.0,4.0,4.0,7.0,13.0,3.0,11.0,0.0,0.0,0,W
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Maximo Blanco vs. Mike de la Torre,Maximo Blanco,1.0,4.0,7.0,4.0,7.0,0.0,0.0,0.0,1,0.0,3.0,6.0,1.0,1.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0,W
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Maximo Blanco vs. Mike de la Torre,Mike de la Torre,0.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,1,L
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Michael Graves vs. Vicente Luque,Michael Graves,0.0,27.0,45.0,53.0,72.0,7.0,10.0,0.0,538,1.0,22.0,35.0,3.0,6.0,2.0,4.0,12.0,22.0,7.0,13.0,8.0,10.0,28.0,57.0,0.0,0.0,209,W
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Michael Graves vs. Vicente Luque,Vicente Luque,0.0,28.0,57.0,50.0,79.0,0.0,0.0,1.0,209,0.0,13.0,35.0,12.0,18.0,3.0,4.0,16.0,40.0,3.0,4.0,9.0,13.0,27.0,45.0,7.0,10.0,538,L
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Russell Doane vs. Jerrod Sanders,Jerrod Sanders,0.0,15.0,22.0,47.0,57.0,3.0,8.0,3.0,402,1.0,10.0,16.0,5.0,5.0,0.0,1.0,5.0,11.0,4.0,5.0,6.0,6.0,13.0,26.0,1.0,2.0,381,W
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,Russell Doane vs. Jerrod Sanders,Russell Doane,1.0,13.0,26.0,34.0,51.0,1.0,2.0,3.0,381,2.0,10.0,21.0,3.0,5.0,0.0,0.0,3.0,13.0,6.0,9.0,4.0,4.0,15.0,22.0,3.0,8.0,402,L
The Ultimate Fighter: Heavy Hitters Finale,Darren Stewart vs. Edmen Shahbazyan,Darren Stewart,0.0,34.0,71.0,46.0,84.0,1.0,3.0,0.0,41,0.0,29.0,63.0,4.0,6.0,1.0,2.0,11.0,40.0,12.0,16.0,11.0,15.0,22.0,37.0,8.0,21.0,597,L
The Ultimate Fighter: Heavy Hitters Finale,Darren Stewart vs. Edmen Shahbazyan,Edmen Shahbazyan,0.0,22.0,37.0,27.0,43.0,8.0,21.0,0.0,597,0.0,12.0,25.0,6.0,8.0,4.0,4.0,10.0,21.0,11.0,15.0,1.0,1.0,34.0,71.0,1.0,3.0,41,W
