event,bout,weight_class,method,round,round_format,time,winner
UFC Fight Night: Walker vs. Zhang ,Johnny Walker vs. Zhang Mingyang,Light Heavyweight Bout,KO/TKO ,2,5 Rnd (5-5-5-5-5),2:37,Johnny Walker 
UFC Fight Night: Walker vs. Zhang ,Brian Ortega vs. Aljamain Sterling,Catch Weight Bout,Decision - Unanimous ,5,5 Rnd (5-5-5-5-5),5:00,Aljamain Sterling 
UFC Fight Night: Walker vs. Zhang ,Sergei Pavlovich vs. Waldo Cortes-Acosta,Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Sergei Pavlovich 
UFC Fight Night: Walker vs. Zhang ,Sumudaerji vs. Kevin Borjas,Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00, Sumudaerji 
UFC Fight Night: Walker vs. Zhang ,Taiyilake Nueraji vs. Kiefer Crosbie,Welterweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:33,Taiyilake Nueraji 
UFC Fight Night: Walker vs. Zhang ,Maheshate vs. Gauge Young,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Gauge Young 
UFC Fight Night: Walker vs. Zhang ,Charles Johnson vs. Lone'er Kavanagh,Flyweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:35,Charles Johnson 
UFC Fight Night: Walker vs. Zhang ,Rongzhu vs. Austin Hubbard,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00, Rongzhu 
UFC Fight Night: Walker vs. Zhang ,Michel Pereira vs. Kyle Daukaus,Middleweight Bout,KO/TKO ,1,3 Rnd (5-5-5),0:43,Kyle Daukaus 
UFC Fight Night: Walker vs. Zhang ,Yizha vs. Westin Wilson,Featherweight Bout,KO/TKO ,1,3 Rnd (5-5-5),0:37, Yizha 
UFC Fight Night: Walker vs. Zhang ,Xiao Long vs. SuYoung You,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,SuYoung You 
UFC Fight Night: Walker vs. Zhang ,Uran Satybaldiev vs. Diyar Nurgozhay,Light Heavyweight Bout,Submission ,1,3 Rnd (5-5-5),2:45,Uran Satybaldiev 
UFC 319: Du Plessis vs. Chimaev ,Dricus Du Plessis vs. Khamzat Chimaev,UFC Middleweight Title Bout,Decision - Unanimous ,5,5 Rnd (5-5-5-5-5),5:00,Khamzat Chimaev 
UFC 319: Du Plessis vs. Chimaev ,Lerone Murphy vs. Aaron Pico,Featherweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:21,Lerone Murphy 
UFC 319: Du Plessis vs. Chimaev ,Geoff Neal vs. Carlos Prates,Welterweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:59,Carlos Prates 
UFC 319: Du Plessis vs. Chimaev ,Jared Cannonier vs. Michael Page,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Michael Page 
UFC 319: Du Plessis vs. Chimaev ,Tim Elliott vs. Kai Asakura,Flyweight Bout,Submission ,2,3 Rnd (5-5-5),4:39,Tim Elliott 
UFC 319: Du Plessis vs. Chimaev ,Baisangur Susurkaev vs. Eric Nolan,Middleweight Bout,Submission ,2,3 Rnd (5-5-5),2:01,Baisangur Susurkaev 
UFC 319: Du Plessis vs. Chimaev ,Gerald Meerschaert vs. Michal Oleksiejczuk,Middleweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:03,Michal Oleksiejczuk 
UFC 319: Du Plessis vs. Chimaev ,Jessica Andrade vs. Loopy Godinez,Women's Strawweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Loopy Godinez 
UFC 319: Du Plessis vs. Chimaev ,Chase Hooper vs. Alexander Hernandez,Lightweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:58,Alexander Hernandez 
UFC 319: Du Plessis vs. Chimaev ,Edson Barboza vs. Drakkar Klose,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Drakkar Klose 
UFC 319: Du Plessis vs. Chimaev ,Karine Silva vs. Dione Barbosa,Women's Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Karine Silva 
UFC 319: Du Plessis vs. Chimaev ,Alibi Idiris vs. Joseph Morales,Ultimate Fighter 33 Flyweight Tournament Title Bout,Submission ,2,3 Rnd + OT (5-5-5-5),3:04,Joseph Morales 
UFC Fight Night: Dolidze vs. Hernandez ,Roman Dolidze vs. Anthony Hernandez,Middleweight Bout,Submission ,4,5 Rnd (5-5-5-5-5),2:45,Anthony Hernandez 
UFC Fight Night: Dolidze vs. Hernandez ,Steve Erceg vs. Ode Osbourne,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Steve Erceg 
UFC Fight Night: Dolidze vs. Hernandez ,Iasmin Lucindo vs. Angela Hill,Women's Strawweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Iasmin Lucindo 
UFC Fight Night: Dolidze vs. Hernandez ,Andre Fili vs. Christian Rodriguez,Featherweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Andre Fili 
UFC Fight Night: Dolidze vs. Hernandez ,Miles Johns vs. Jean Matsumoto,Bantamweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Jean Matsumoto 
UFC Fight Night: Dolidze vs. Hernandez ,Eryk Anders vs. Christian Leroy Duncan,Middleweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:53,Christian Leroy Duncan 
UFC Fight Night: Dolidze vs. Hernandez ,Julius Walker vs. Rafael Cerqueira,Light Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Julius Walker 
UFC Fight Night: Dolidze vs. Hernandez ,Elijah Smith vs. Toshiomi Kazama,Bantamweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:10,Elijah Smith 
UFC Fight Night: Dolidze vs. Hernandez ,Joselyne Edwards vs. Priscila Cachoeira,Women's Bantamweight Bout,KO/TKO ,1,3 Rnd (5-5-5),2:24,Joselyne Edwards 
UFC Fight Night: Dolidze vs. Hernandez ,Uros Medic vs. Gilbert Urbina,Welterweight Bout,KO/TKO ,1,3 Rnd (5-5-5),1:03,Uros Medic 
UFC Fight Night: Dolidze vs. Hernandez ,Gabriella Fernandes vs. Julija Stoliarenko,Women's Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Gabriella Fernandes 
UFC Fight Night: Dolidze vs. Hernandez ,Cody Brundage vs. Eric McConico,Light Heavyweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Eric McConico 
UFC Fight Night: Taira vs. Park ,Tatsuro Taira vs. HyunSung Park,Flyweight Bout,Submission ,2,5 Rnd (5-5-5-5-5),1:06,Tatsuro Taira 
UFC Fight Night: Taira vs. Park ,Mateusz Rebecki vs. Chris Duncan,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Chris Duncan 
UFC Fight Night: Taira vs. Park ,Elves Brener vs. Esteban Ribovics,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Esteban Ribovics 
UFC Fight Night: Taira vs. Park ,Karol Rosa vs. Nora Cornolle,Women's Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Karol Rosa 
UFC Fight Night: Taira vs. Park ,Neil Magny vs. Elizeu Zaleski dos Santos,Welterweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:39,Neil Magny 
UFC Fight Night: Taira vs. Park ,Danny Silva vs. Kevin Vallejos,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Kevin Vallejos 
UFC Fight Night: Taira vs. Park ,Rinya Nakamura vs. Nathan Fletcher,Bantamweight Bout,KO/TKO ,1,3 Rnd (5-5-5),1:02,Rinya Nakamura 
UFC Fight Night: Taira vs. Park ,Rodolfo Vieira vs. Tresean Gore,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Rodolfo Vieira 
UFC Fight Night: Taira vs. Park ,Nick Klein vs. Andrey Pulyaev,Middleweight Bout,KO/TKO ,2,3 Rnd (5-5-5),1:31,Andrey Pulyaev 
UFC Fight Night: Taira vs. Park ,Austin Bashi vs. John Yannis,Featherweight Bout,Submission ,1,3 Rnd (5-5-5),3:39,Austin Bashi 
UFC Fight Night: Taira vs. Park ,Rafael Estevam vs. Felipe Bunes,Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Rafael Estevam 
UFC Fight Night: Taira vs. Park ,Piera Rodriguez vs. Ketlen Souza,Women's Strawweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Piera Rodriguez 
UFC Fight Night: Whittaker vs. De Ridder ,Robert Whittaker vs. Reinier de Ridder,Middleweight Bout,Decision - Split ,5,5 Rnd (5-5-5-5-5),5:00,Reinier de Ridder 
UFC Fight Night: Whittaker vs. De Ridder ,Petr Yan vs. Marcus McGhee,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Petr Yan 
UFC Fight Night: Whittaker vs. De Ridder ,Shara Magomedov vs. Marc-Andre Barriault,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Shara Magomedov 
UFC Fight Night: Whittaker vs. De Ridder ,Asu Almabayev vs. Jose Ochoa,Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Asu Almabayev 
UFC Fight Night: Whittaker vs. De Ridder ,Nikita Krylov vs. Bogdan Guskov,Light Heavyweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:18,Bogdan Guskov 
UFC Fight Night: Whittaker vs. De Ridder ,Bryce Mitchell vs. Said Nurmagomedov,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Bryce Mitchell 
UFC Fight Night: Whittaker vs. De Ridder ,Muslim Salikhov vs. Carlos Leal,Welterweight Bout,KO/TKO ,1,3 Rnd (5-5-5),0:42,Muslim Salikhov 
UFC Fight Night: Whittaker vs. De Ridder ,Davey Grant vs. Da'Mon Blackshear,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Davey Grant 
UFC Fight Night: Whittaker vs. De Ridder ,Amanda Ribas vs. Tabatha Ricci,Women's Strawweight Bout,KO/TKO ,2,3 Rnd (5-5-5),2:59,Tabatha Ricci 
UFC Fight Night: Whittaker vs. De Ridder ,Ibo Aslan vs. Billy Elekana,Light Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Billy Elekana 
UFC Fight Night: Whittaker vs. De Ridder ,Mohammad Yahya vs. Steven Nguyen,Featherweight Bout,KO/TKO ,2,3 Rnd (5-5-5),5:00,Steven Nguyen 
UFC Fight Night: Whittaker vs. De Ridder ,Martin Buday vs. Marcus Buchecha,Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Martin Buday 
UFC 318: Holloway vs. Poirier 3 ,Max Holloway vs. Dustin Poirier,Lightweight Bout,Decision - Unanimous ,5,5 Rnd (5-5-5-5-5),5:00,Max Holloway 
UFC 318: Holloway vs. Poirier 3 ,Paulo Costa vs. Roman Kopylov,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Paulo Costa 
UFC 318: Holloway vs. Poirier 3 ,Kevin Holland vs. Daniel Rodriguez,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Daniel Rodriguez 
UFC 318: Holloway vs. Poirier 3 ,Dan Ige vs. Patricio Freire,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Patricio Freire 
UFC 318: Holloway vs. Poirier 3 ,Michael Johnson vs. Daniel Zellhuber,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Michael Johnson 
UFC 318: Holloway vs. Poirier 3 ,Kyler Phillips vs. Vinicius Oliveira,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Vinicius Oliveira 
UFC 318: Holloway vs. Poirier 3 ,Marvin Vettori vs. Brendan Allen,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Brendan Allen 
UFC 318: Holloway vs. Poirier 3 ,Francisco Prado vs. Nikolay Veretennikov,Welterweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Nikolay Veretennikov 
UFC 318: Holloway vs. Poirier 3 ,Ateba Gautier vs. Robert Valentin,Middleweight Bout,KO/TKO ,1,3 Rnd (5-5-5),1:10,Ateba Gautier 
UFC 318: Holloway vs. Poirier 3 ,Adam Fugitt vs. Islam Dulatov,Welterweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:06,Islam Dulatov 
UFC 318: Holloway vs. Poirier 3 ,Jimmy Crute vs. Marcin Prachnio,Light Heavyweight Bout,Submission ,1,3 Rnd (5-5-5),4:42,Jimmy Crute 
UFC 318: Holloway vs. Poirier 3 ,Ryan Spann vs. Lukasz Brzeski,Heavyweight Bout,Submission ,1,3 Rnd (5-5-5),2:47,Ryan Spann 
UFC 318: Holloway vs. Poirier 3 ,Brunno Ferreira vs. Jackson McVey,Middleweight Bout,Submission ,1,3 Rnd (5-5-5),3:35,Brunno Ferreira 
UFC 318: Holloway vs. Poirier 3 ,Carli Judice vs. Nicolle Caliari,Women's Flyweight Bout,KO/TKO ,3,3 Rnd (5-5-5),1:30,Carli Judice 
UFC Fight Night: Lewis vs. Teixeira ,Derrick Lewis vs. Tallison Teixeira,Heavyweight Bout,KO/TKO ,1,5 Rnd (5-5-5-5-5),0:35,Derrick Lewis 
UFC Fight Night: Lewis vs. Teixeira ,Stephen Thompson vs. Gabriel Bonfim,Welterweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Gabriel Bonfim 
UFC Fight Night: Lewis vs. Teixeira ,Calvin Kattar vs. Steve Garcia,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Steve Garcia 
UFC Fight Night: Lewis vs. Teixeira ,Nate Landwehr vs. Morgan Charriere,Featherweight Bout,KO/TKO ,3,3 Rnd (5-5-5),0:27,Morgan Charriere 
UFC Fight Night: Lewis vs. Teixeira ,Vitor Petrino vs. Austen Lane,Heavyweight Bout,Submission ,1,3 Rnd (5-5-5),4:16,Vitor Petrino 
UFC Fight Night: Lewis vs. Teixeira ,Junior Tafa vs. Tuco Tokkos,Light Heavyweight Bout,Submission ,2,3 Rnd (5-5-5),4:25,Tuco Tokkos 
UFC Fight Night: Lewis vs. Teixeira ,Max Griffin vs. Chris Curtis,Welterweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Chris Curtis 
UFC Fight Night: Lewis vs. Teixeira ,Jake Matthews vs. Chidi Njokuani,Welterweight Bout,Submission ,1,3 Rnd (5-5-5),1:09,Jake Matthews 
UFC Fight Night: Lewis vs. Teixeira ,Lauren Murphy vs. Eduarda Moura,Women's Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Eduarda Moura 
UFC Fight Night: Lewis vs. Teixeira ,Kennedy Nzechukwu vs. Valter Walker,Heavyweight Bout,Submission ,1,3 Rnd (5-5-5),0:54,Valter Walker 
UFC Fight Night: Lewis vs. Teixeira ,Mitch Ramirez vs. Mike Davis,Lightweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:08,Mike Davis 
UFC Fight Night: Lewis vs. Teixeira ,Fatima Kline vs. Melissa Martinez,Women's Strawweight Bout,KO/TKO ,3,3 Rnd (5-5-5),2:36,Fatima Kline 
UFC 317: Topuria vs. Oliveira ,Ilia Topuria vs. Charles Oliveira,UFC Lightweight Title Bout,KO/TKO ,1,5 Rnd (5-5-5-5-5),2:27,Ilia Topuria 
UFC 317: Topuria vs. Oliveira ,Alexandre Pantoja vs. Kai Kara-France,UFC Flyweight Title Bout,Submission ,3,5 Rnd (5-5-5-5-5),1:55,Alexandre Pantoja 
UFC 317: Topuria vs. Oliveira ,Brandon Royval vs. Joshua Van,Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Joshua Van 
UFC 317: Topuria vs. Oliveira ,Beneil Dariush vs. Renato Moicano,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Beneil Dariush 
UFC 317: Topuria vs. Oliveira ,Payton Talbott vs. Felipe Lima,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Payton Talbott 
UFC 317: Topuria vs. Oliveira ,Jack Hermansson vs. Gregory Rodrigues,Middleweight Bout,KO/TKO ,1,3 Rnd (5-5-5),4:21,Gregory Rodrigues 
UFC 317: Topuria vs. Oliveira ,Hyder Amil vs. Jose Delgado,Featherweight Bout,KO/TKO ,1,3 Rnd (5-5-5),0:26,Jose Delgado 
UFC 317: Topuria vs. Oliveira ,Viviane Araujo vs. Tracy Cortez,Women's Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Tracy Cortez 
UFC 317: Topuria vs. Oliveira ,Terrance McKinney vs. Viacheslav Borshchev,Lightweight Bout,Submission ,1,3 Rnd (5-5-5),0:55,Terrance McKinney 
UFC 317: Topuria vs. Oliveira ,Niko Price vs. Jacobe Smith,Welterweight Bout,Submission ,2,3 Rnd (5-5-5),4:03,Jacobe Smith 
UFC 317: Topuria vs. Oliveira ,Jhonata Diniz vs. Alvin Hines,Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Jhonata Diniz 
UFC Fight Night: Hill vs. Rountree Jr. ,Jamahal Hill vs. Khalil Rountree Jr.,Light Heavyweight Bout,Decision - Unanimous ,5,5 Rnd (5-5-5-5-5),5:00,Khalil Rountree Jr. 
UFC Fight Night: Hill vs. Rountree Jr. ,Rafael Fiziev vs. Ignacio Bahamondes,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Rafael Fiziev 
UFC Fight Night: Hill vs. Rountree Jr. ,Curtis Blaydes vs. Rizvan Kuniev,Heavyweight Bout,Decision - Split ,3,3 Rnd (5-5-5),5:00,Curtis Blaydes 
UFC Fight Night: Hill vs. Rountree Jr. ,Tofiq Musayev vs. Myktybek Orolbai,Catch Weight Bout,Submission ,1,3 Rnd (5-5-5),4:35,Myktybek Orolbai 
UFC Fight Night: Hill vs. Rountree Jr. ,Nazim Sadykhov vs. Nikolas Motta,Lightweight Bout,KO/TKO ,2,3 Rnd (5-5-5),4:17,Nazim Sadykhov 
UFC Fight Night: Hill vs. Rountree Jr. ,Muhammad Naimov vs. Bogdan Grad,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Muhammad Naimov 
UFC Fight Night: Hill vs. Rountree Jr. ,Seokhyeon Ko vs. Oban Elliott,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Seokhyeon Ko 
UFC Fight Night: Hill vs. Rountree Jr. ,Ismail Naurdiev vs. JunYong Park,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,JunYong Park 
UFC Fight Night: Hill vs. Rountree Jr. ,Daria Zhelezniakova vs. Melissa Mullins,Women's Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Daria Zhelezniakova 
UFC Fight Night: Hill vs. Rountree Jr. ,Irina Alekseeva vs. Klaudia Sygula,Women's Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Klaudia Sygula 
UFC Fight Night: Hill vs. Rountree Jr. ,Tagir Ulanbekov vs. Azat Maksum,Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Tagir Ulanbekov 
UFC Fight Night: Hill vs. Rountree Jr. ,Hamdy Abdelwahab vs. Mohammed Usman,Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Mohammed Usman 
UFC Fight Night: Usman vs. Buckley ,Kamaru Usman vs. Joaquin Buckley,Welterweight Bout,Decision - Unanimous ,5,5 Rnd (5-5-5-5-5),5:00,Kamaru Usman 
UFC Fight Night: Usman vs. Buckley ,Rose Namajunas vs. Miranda Maverick,Women's Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Rose Namajunas 
UFC Fight Night: Usman vs. Buckley ,Edmen Shahbazyan vs. Andre Petroski,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Edmen Shahbazyan 
UFC Fight Night: Usman vs. Buckley ,Cody Garbrandt vs. Raoni Barcelos,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Raoni Barcelos 
UFC Fight Night: Usman vs. Buckley ,Mansur Abdul-Malik vs. Cody Brundage,Middleweight Bout,Overturned ,3,3 Rnd (5-5-5),0:36,
UFC Fight Night: Usman vs. Buckley ,Alonzo Menifield vs. Oumar Sy,Light Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Alonzo Menifield 
UFC Fight Night: Usman vs. Buckley ,Paul Craig vs. Rodolfo Bellato,Light Heavyweight Bout,Could Not Continue ,1,3 Rnd (5-5-5),4:59,
UFC Fight Night: Usman vs. Buckley ,Michael Chiesa vs. Court McGee,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Michael Chiesa 
UFC Fight Night: Usman vs. Buckley ,Malcolm Wellmaker vs. Kris Moutinho,Bantamweight Bout,KO/TKO ,1,3 Rnd (5-5-5),2:37,Malcolm Wellmaker 
UFC Fight Night: Usman vs. Buckley ,Cody Durden vs. Jose Ochoa,Flyweight Bout,KO/TKO ,2,3 Rnd (5-5-5),0:11,Jose Ochoa 
UFC Fight Night: Usman vs. Buckley ,Ricky Simon vs. Cameron Smotherman,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Ricky Simon 
UFC Fight Night: Usman vs. Buckley ,Phil Rowe vs. Ange Loosa,Welterweight Bout,KO/TKO ,3,3 Rnd (5-5-5),4:03,Phil Rowe 
UFC Fight Night: Usman vs. Buckley ,Jamey-Lyn Horth vs. Vanessa Demopoulos,Women's Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Jamey-Lyn Horth 
UFC 316: Dvalishvili vs. O'Malley 2 ,Merab Dvalishvili vs. Sean O'Malley,UFC Bantamweight Title Bout,Submission ,3,5 Rnd (5-5-5-5-5),4:42,Merab Dvalishvili 
UFC 316: Dvalishvili vs. O'Malley 2 ,Julianna Pena vs. Kayla Harrison,UFC Women's Bantamweight Title Bout,Submission ,2,5 Rnd (5-5-5-5-5),4:55,Kayla Harrison 
UFC 316: Dvalishvili vs. O'Malley 2 ,Kelvin Gastelum vs. Joe Pyfer,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Joe Pyfer 
UFC 316: Dvalishvili vs. O'Malley 2 ,Mario Bautista vs. Patchy Mix,Bantamweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Mario Bautista 
UFC 316: Dvalishvili vs. O'Malley 2 ,Vicente Luque vs. Kevin Holland,Welterweight Bout,Submission ,2,3 Rnd (5-5-5),1:03,Kevin Holland 
UFC 316: Dvalishvili vs. O'Malley 2 ,Bruno Silva vs. Joshua Van,Flyweight Bout,KO/TKO ,3,3 Rnd (5-5-5),4:01,Joshua Van 
UFC 316: Dvalishvili vs. O'Malley 2 ,Azamat Murzakanov vs. Brendson Ribeiro,Light Heavyweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:25,Azamat Murzakanov 
UFC 316: Dvalishvili vs. O'Malley 2 ,Serghei Spivac vs. Waldo Cortes-Acosta,Heavyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Waldo Cortes-Acosta 
UFC 316: Dvalishvili vs. O'Malley 2 ,Khaos Williams vs. Andreas Gustafsson,Welterweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Andreas Gustafsson 
UFC 316: Dvalishvili vs. O'Malley 2 ,Ariane da Silva vs. Wang Cong,Women's Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Wang Cong 
UFC 316: Dvalishvili vs. O'Malley 2 ,Jeka Saragih vs. JooSang Yoo,Featherweight Bout,KO/TKO ,1,3 Rnd (5-5-5),0:28,JooSang Yoo 
UFC 316: Dvalishvili vs. O'Malley 2 ,Quillan Salkilld vs. Yanal Ashmouz,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Quillan Salkilld 
UFC 316: Dvalishvili vs. O'Malley 2 ,MarQuel Mederos vs. Mark Choinski,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,MarQuel Mederos 
UFC Fight Night: Blanchfield vs. Barber ,Mateusz Gamrot vs. Ludovit Klein,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Mateusz Gamrot 
UFC Fight Night: Blanchfield vs. Barber ,Billy Ray Goff vs. Ramiz Brahimaj,Welterweight Bout,Submission ,1,3 Rnd (5-5-5),3:16,Ramiz Brahimaj 
UFC Fight Night: Blanchfield vs. Barber ,Dustin Jacoby vs. Bruno Lopes,Light Heavyweight Bout,KO/TKO ,1,3 Rnd (5-5-5),1:50,Dustin Jacoby 
UFC Fight Night: Blanchfield vs. Barber ,Ketlen Vieira vs. Macy Chiasson,Women's Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Ketlen Vieira 
UFC Fight Night: Blanchfield vs. Barber ,Zachary Reese vs. Dusko Todorovic,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Zachary Reese 
UFC Fight Night: Blanchfield vs. Barber ,Jafel Filho vs. Allan Nascimento,Flyweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Allan Nascimento 
UFC Fight Night: Blanchfield vs. Barber ,Kurt Holobaugh vs. Jordan Leavitt,Lightweight Bout,Submission ,1,3 Rnd (5-5-5),1:39,Jordan Leavitt 
UFC Fight Night: Blanchfield vs. Barber ,Bolaji Oki vs. Michael Aswell,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Bolaji Oki 
UFC Fight Night: Blanchfield vs. Barber ,Rayanne dos Santos vs. Alice Ardelean,Women's Strawweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Alice Ardelean 
UFC Fight Night: Burns vs. Morales ,Gilbert Burns vs. Michael Morales,Welterweight Bout,KO/TKO ,1,5 Rnd (5-5-5-5-5),3:39,Michael Morales 
UFC Fight Night: Burns vs. Morales ,Sodiq Yusuff vs. Mairon Santos,Lightweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Mairon Santos 
UFC Fight Night: Burns vs. Morales ,Dustin Stoltzfus vs. Nursulton Ruziboev,Middleweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Nursulton Ruziboev 
UFC Fight Night: Burns vs. Morales ,Julian Erosa vs. Melquizael Costa,Featherweight Bout,Decision - Unanimous ,3,3 Rnd (5-5-5),5:00,Melquizael Costa 
UFC Fight Night: Burns vs. Morales ,Gabe Green vs. Matheus Camilo,Lightweight Bout,Submission ,2,3 Rnd (5-5-5),3:43,Gabe Green 
UFC Fight Night: Burns vs. Morales ,Jared Gordon vs. Thiago Moises,Lightweight Bout,KO/TKO ,1,3 Rnd (5-5-5),3:37,Jared Gordon 
UFC Fight Night: Burns vs. Morales ,Yadier del Valle vs. Connor Matthews,Featherweight Bout,Submission ,1,3 Rnd (5-5-5),2:54,Yadier del Valle 
UFC Fight Night: Burns vs. Morales ,Luana Santos vs. Tainara Lisboa,Women's Bantamweight Bout,Submission ,2,3 Rnd (5-5-5),4:59,Luana Santos 
